"p_wt_14"	"c_gen"	"c_bo"	"c_gt_14"	"c_wt_14"	"p_viq"	"p_inc"	"p_educ"	"c_ppvt_30"	"c_ppvt_42"	"p_wt_30"	"c_wt_22"	"c_wt_26"	"c_mlu_22"	"c_mlu_26"	"p_wt_26"	"c_ppvt_54"	"c_wt_46"	"c_cps_48"	"c_mc_ons"	"p_cps_14"	"p_cps_30"	"p_mlu_26"	"c_gaps_sr"	"c_ppvt_74"	"c_celf_rs"
122.61	"0"	"1"	3.68	-6.72	NA	88.2	14.32	10.19	27.76	441	-1.46	104.18	1	1.28	518.82	96.42	97.29	1.15	33.77	1.07	1.08	4.05	5.91	94.17	10.97
463.25	"0"	"1"	43.29	33.74	55.22	74.34	18.46	49.08	88.62	608.78	180.69	253.57	1.09	1.96	577.64	145.48	542.91	1.19	25.3	1.11	1.26	3.27	12.39	134.87	17.27
445.93	"0"	"1"	17.05	9.96	64.11	52.47	17.17	29.37	60	408.55	38.76	95.97	1.17	1.63	437.39	115.37	457.87	1.18	30.66	1.15	1.18	3.61	8.34	108.99	12.32
388.28	"1"	"1"	21.06	35.07	50.9	64.34	12.92	42	31.88	411.64	261.54	361.84	1.68	3.51	324.75	97.34	486.66	1.1	16.87	1.08	1.19	4.03	10.41	106.43	11.81
478	"0"	"0"	-0.21	-2.86	59.54	24.83	14.17	30.65	23.85	553.1	71.33	169.27	1.17	1.85	375.66	102.4	461.91	1.1	28.32	1.11	1.12	2.48	4.24	96.08	5.37
586.32	"0"	"1"	23.9	14.24	NA	67.7	14.43	36.96	59.71	494.53	193.9	324.17	1.44	2.78	625.87	121.5	490.46	1.16	23.11	1.12	1.2	4.23	6.79	111.35	12.31
205.4	"0"	"1"	29.98	31.78	NA	28.53	16.1	35.47	80.45	288.23	80.73	132.23	1.32	1.45	184.31	124.57	350.65	1.17	32.11	1.06	1.09	3.68	NA	118.46	12.27
337.39	"1"	"0"	0.01	-4.23	75.39	68.59	15.34	26.73	37.3	364.89	85.43	189.51	1.32	1.58	449.59	109.25	184.28	1.07	27.07	1.08	1.14	4.38	7.41	102.5	7.85
435.27	"1"	"0"	-0.66	0.05	59.92	53.53	9.88	14.1	10.73	604.33	38.36	86.85	1.41	0.63	287.08	85.61	109.65	1.05	32.1	1.1	1.04	2.42	5.23	83.17	4.84
411.43	"0"	"0"	8.77	4.16	65.74	109.58	16.28	41.74	64.74	570.02	22.98	198.16	1.06	1.29	727.9	129.1	414.72	1.1	26.44	1.08	1.12	4.05	8.82	115.85	10.17
512.92	"1"	"0"	-4.42	-6.81	NA	119.85	17.59	30.81	58.65	465.65	65.74	161.05	1.52	2.04	577.78	94.71	325.72	1.21	27.62	1.09	1.15	4.85	4.56	106.42	10.9
386.82	"1"	"1"	27.68	24.87	61.63	82.02	12.6	25.63	34.83	364.12	234.96	324.46	1.64	2.66	475.06	NA	397.97	1.15	25.63	1.1	1.06	4.08	6.5	95.09	10.31
6.76	"1"	"0"	2.85	5.77	31.41	80.76	12.33	17.78	22.64	220.61	8.25	40.57	1.18	1.39	284.27	85.4	112.2	1.09	32.85	1.04	0.98	4.17	6.02	87.87	8.57
551.7	"0"	"0"	41.76	15.93	71.74	104.49	17.33	43.3	50.47	554.89	203.91	330.53	1.46	2.37	491.49	122.06	414.04	1.02	24.69	1.09	1.11	3.49	6.44	119.13	11.22
215.31	"1"	"1"	20.83	20.59	41.21	-32.93	10.56	-8.41	3.09	158.83	87.47	142.03	1.64	2.33	348.34	69.91	259.57	1.11	34.27	1.16	1.2	3.83	3.78	80.48	3.92
448.06	"1"	"1"	18.89	1.68	62.61	12.74	14.07	2.5	34.79	333.95	90.71	89.33	1.33	1.95	364.7	83.81	305.56	1.09	30.26	1.17	1.32	3.98	8.87	94.97	7.41
